,,,,Exemption 3 Statutes,,,Dates (mm/dd/yy),,,,,Disposition,,,Appeal,,,Reason for Denial on Appeal - Reason(s) ,,,Request for Expedited Processing,,,,Request for Fee Waiver,,,,
Office of Pesticide Programs,EPA-HQ-2012-001035,N,20,,,,22-Mar-12,23-Mar-12,21-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,22-Mar-12,23-Mar-12,1,Deny,
Office of Pesticide Programs,EPA-HQ-2012-001036,N,20,,,,22-Mar-12,28-Mar-12,,,Complex,,,,,,,,,,,,, ,22-Mar-12,19-Nov-12,242,Deny,
Office of Pesticide Programs,EPA-HQ-2012-001115,N,20,,,,11-Jun-12,19-Jun-12,,,Complex,,,,,,,,,,,,, ,11-Jun-12,19-Nov-12,161,Full Grant,
External Civil Rights Compliance Office,EPA-HQ-2012-001182,N,20,,,,20-Jul-12,25-Jul-12,2-Mar-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2012-001189,N,20,,,,24-Jul-12,25-Jul-12,5-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,24-Jul-12,25-Jul-12,1,Deny,
Office of Pesticide Programs,EPA-HQ-2012-001316,N,20,,,,10-Sep-12,19-Sep-12,,,Complex,,,,,,,,,,10-Sep-12,11-Sep-12,1,Deny,10-Sep-12,11-Sep-12,1,Deny,
Water Permits Division,EPA-HQ-2012-001337,N,20,,,,12-Sep-12,12-Sep-12,30-Mar-17,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,12-Sep-12,13-Sep-12,1,Full Grant,
Staff Attorneys,EPA-HQ-2012-001420,N,,,,,,,,,Simple,,,,2-Feb-12,29-Sep-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
OGC,EPA-HQ-2012-001424,N,,,,,,,,,Simple,,,,5-Oct-11,7-Sep-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
OGC,EPA-HQ-2012-001426,N,,,,,,,,,Simple,,,,5-Dec-11,9-May-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001434,N,,,,,,,,,Simple,,,,1-Mar-12,21-Dec-16,Closed for other reasons,Improper request for other reasons, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001490,N,,,,,,,,,Simple,,,,14-Feb-12,23-Jan-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001492,N,,,,,,,,,Simple,,,,14-Feb-12,19-Jan-17,Closed for other reasons,Other,Appeal Withdrawn,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001494,N,,,,,,,,,Simple,,,,16-Feb-12,20-Aug-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001500,N,,,,,,,,,Simple,,,,11-May-12,20-Aug-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
OGC,EPA-HQ-2012-001502,N,,,,,,,,,Simple,,,,12-Jul-12,,,,,,,,, ,,,, ,
OGC,EPA-HQ-2012-001504,N,,,,,,,,,Simple,,,,30-Jul-12,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001508,N,,,,,,,,,Simple,,,,7-Aug-12,23-Jan-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001510,N,,,,,,,,,Simple,,,,14-Aug-12,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-001514,N,,,,,,,,,Simple,,,,18-Sep-12,11-Apr-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2012-001651,N,20,,,,13-Apr-12,25-May-12,,,Complex,,,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-003382,N,,,,,,,,,Simple,,,,21-Nov-12,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-003397,N,,,,,,,,,Simple,,,,13-Dec-12,23-Jan-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2012-003398,N,,,,,,,,,Simple,,,,28-Dec-12,9-Aug-17,Partially affirmed &amp; partially reversed/remanded,, ,,,,, ,,,, ,
OGC,EPA-HQ-2012-003424,N,,,,,,,,,Simple,,,,7-Feb-13,24-Jan-17,Closed for other reasons,Other,Unable to Locate or Contact Requester,,,,, ,,,, ,
Office of International and Tribal Affairs,EPA-HQ-2013-000136,N,20,,,,3-Oct-12,4-Dec-12,23-Mar-17,1210,Complex,Other,Litigation,,,,,,,,,,, ,,,, ,
Information Management Division,EPA-HQ-2013-000334,N,20,,,,9-Oct-12,10-Oct-12,13-Jun-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-001013,N,20,,,,2-Nov-12,5-Nov-12,,,Complex,,,,,,,,,,2-Nov-12,5-Nov-12,3,Deny,2-Nov-12,5-Nov-12,3,Deny,
Office of Pollution Prevention and Toxics,EPA-HQ-2013-001435,N,20,,,,16-Nov-12,16-Nov-12,9-Jun-17,,Complex,No records, ,,,,,,,,,,, ,16-Nov-12,21-Nov-12,4,Deny,
Water Permits Division,EPA-HQ-2013-001516,N,20,,,,20-Nov-12,29-Nov-12,30-Mar-17,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,20-Nov-12,24-Nov-12,3,Full Grant,
Office of Pollution Prevention and Toxics,EPA-HQ-2013-001525,N,20,,,,20-Nov-12,26-Nov-12,13-Jun-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of Atmospheric Programs,EPA-HQ-2013-001595,N,20,,,,26-Nov-12,9-Dec-13,30-Nov-16,,Complex,Fee-related reason, ,,,,,,,,,,, ,26-Nov-12,1-Dec-12,4,Deny,
Office of Pollution Prevention and Toxics,EPA-HQ-2013-001983,N,20,,,,6-Dec-12,6-Dec-12,3-Jul-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2013-002287,N,20,,,,19-Dec-12,18-Jan-17,18-Jan-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,19-Dec-12,6-Mar-13,76,Not Billable,
Office of Transportation and Air Quality,EPA-HQ-2013-002407,N,20,,,,28-Dec-12,18-Jan-13,,,Complex,,,,,,,,,,,,, ,31-Dec-12,15-Jan-13,15,Deny,
Office of the Administrator,EPA-HQ-2013-002430,N,20,,,,28-Dec-12,11-Jan-17,11-Jan-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,28-Dec-12,15-Jan-13,18,Not Billable,
Office of Air and Radiation,EPA-HQ-2013-003761,N,20,,,,19-Feb-13,21-Mar-13,7-Feb-17,,Complex,Partial grant/partial denial, ,,,,,,,,19-Feb-13,14-Mar-13,23,Deny,19-Feb-13,6-Mar-13,14,Full Grant,
Office of the Administrator,EPA-HQ-2013-003900,N,30,,,,22-Feb-13,25-Feb-13,21-Dec-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2013-004097,N,30,,,,1-Mar-13,7-Mar-13,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2013-004128,N,30,,,,1-Mar-13,5-Mar-13,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-004504,N,,,,,,,,,Simple,,,,14-Mar-13,1-Sep-17,Completely reversed/remanded,, ,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-004526,N,,,,,,,,,Simple,,,,14-Mar-13,20-Aug-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-004703,N,20,,,,20-Mar-13,1-Jul-13,22-Dec-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-004878,N,30,,,,26-Mar-13,28-Mar-13,28-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2013-005166,N,20,,,,4-Apr-13,21-May-13,9-Feb-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2013-005532,N,20,,,,16-Apr-13,21-May-13,1-Mar-17,,Complex,No records, ,,,,,,,,16-Apr-13,17-Apr-13,0,Deny,16-Apr-13,17-Apr-13,0,Not Billable,
Office of the Administrator,EPA-HQ-2013-006136,N,20,,,,3-May-13,8-May-13,19-Dec-16,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,3-May-13,15-May-13,11,Partial Grant,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2013-006236,N,20,,,,8-May-13,9-Aug-13,24-Jan-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2013-006357,N,20,,,,10-May-13,22-May-13,14-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2013-006358,N,20,,,,10-May-13,22-May-13,14-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-006498,N,20,,,,16-May-13,17-May-13,,,Complex,,,,,,,,,,,,, ,16-May-13,28-Jun-13,43,Deny,
Staff Attorneys,EPA-HQ-2013-006540,N,,,,,,,,,Simple,,,,27-Jun-13,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2013-006588,N,20,,,,20-May-13,21-May-13,13-Feb-17,47,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,20-May-13,22-May-13,1,Not Billable,
OGC Law Groups Air and Radiation Law Office,EPA-HQ-2013-006655,N,,,,,,,,,Simple,,,,3-Jul-13,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2013-006737,N,30,,,,24-May-13,4-Jun-13,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,24-May-13,17-Jun-13,23,Deny,24-May-13,17-Jun-13,23,Deny,
Office of Transportation and Air Quality,EPA-HQ-2013-006753,N,30,,,,28-May-13,19-Jun-13,24-Feb-17,2,Complex,Partial grant/partial denial, ,Ex. 5,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-006827,N,,,,,,,,,Simple,,,,30-May-13,,,,,,,,, ,,,, ,
Water Permits Division,EPA-HQ-2013-006913,N,30,,,,31-May-13,12-Jun-13,18-May-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,31-May-13,13-Jun-13,12,Deny,
Office of Pesticide Programs,EPA-HQ-2013-007454,N,30,,,,18-Jun-13,19-Jun-13,16-May-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-007992,N,20,,,,9-Jul-13,11-Jul-13,,6,Complex,,,,,,,,,,,,, ,9-Jul-13,24-Jul-13,15,Full Grant,
Office of Transportation and Air Quality,EPA-HQ-2013-008105,N,20,,,,11-Jul-13,8-Feb-17,8-Feb-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-008435,N,20,,,,22-Jul-13,23-Jul-13,,,Complex,,,,,,,,,,22-Jul-13,25-Jul-13,3,Deny,22-Jul-13,25-Jul-13,3,Full Grant,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2013-008521,N,20,,,,24-Jul-13,4-Aug-17,21-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2013-009012,N,30,,,,12-Aug-13,26-Sep-13,20-Jul-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,12-Aug-13,27-Aug-13,14,Not Billable,
Office of the Administrator,EPA-HQ-2013-009120,N,20,,,,14-Aug-13,18-Nov-16,18-Nov-16,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
External Civil Rights Compliance Office,EPA-HQ-2013-009142,N,20,,,,15-Aug-13,15-Aug-13,2-Mar-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-009216,N,,,,,,,,,Simple,,,,21-Aug-13,8-Mar-17,Closed for other reasons,Request withdrawn, ,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2013-009342,N,30,,,,23-Aug-13,23-Aug-13,20-Dec-16,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,23-Aug-13,23-Aug-13,0,Not Billable,
Office of Pesticide Programs,EPA-HQ-2013-009359,N,20,,,,23-Aug-13,23-Aug-13,,,Complex,,,,,,,,,,23-Aug-13,23-Aug-13,0,Deny,23-Aug-13,23-Aug-13,0,Full Grant,
OGC,EPA-HQ-2013-009384,N,,,,,,,,,Simple,,,,27-Aug-13,,,,,,,,, ,,,, ,
Office of Air and Radiation,EPA-HQ-2013-009458,N,30,,,,27-Aug-13,17-Sep-13,18-Jan-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,27-Aug-13,10-Sep-13,14,Full Grant,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2013-009555,N,20,,,,31-Aug-13,4-Aug-17,29-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,31-Aug-13,17-Oct-13,46,Deny,
Office of Pesticide Programs,EPA-HQ-2013-009573,N,20,,,,3-Sep-13,4-Sep-13,,,Complex,,,,,,,,,,4-Sep-13,11-Sep-13,7,Deny,3-Sep-13,18-Sep-13,14,Deny,
Office of Air and Radiation,EPA-HQ-2013-009653,N,30,,,,5-Sep-13,17-Sep-13,18-Jan-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2013-010089,N,20,,,,18-Sep-13,19-Sep-13,,,Complex,,,,,,,,,,19-Sep-13,19-Sep-13,0,Deny,18-Sep-13,19-Sep-13,0,Full Grant,
OGC,EPA-HQ-2013-010303,N,,,,,,,,,Simple,,,,26-Sep-13,17-Feb-17,Closed for other reasons,Other,Unable to Locate or Contact Requester,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-010381,N,,,,,,,,,Simple,,,,30-Sep-13,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2013-010423,N,,,,,,,,,Simple,,,,30-Sep-13,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-000021,N,30,,,,1-Oct-13,17-Oct-13,19-Sep-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-000160,N,,,,,,,,,Simple,,,,17-Oct-13,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-000305,N,20,,,,18-Oct-13,22-Oct-13,2-Dec-16,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,18-Oct-13,14-Nov-13,26,Not Billable,
Office of Program Operations and Managment,EPA-HQ-2014-000324,N,30,,,,18-Oct-13,22-Oct-13,11-Jan-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,18-Oct-13,5-Nov-13,18,Deny,
Office of Air and Radiation,EPA-HQ-2014-000394,N,30,,,,21-Oct-13,22-Oct-13,18-Jan-17,,Expedited,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,22-Oct-13,24-Oct-13,2,Grant,21-Oct-13,24-Oct-13,2,Full Grant,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-000656,N,20,,,,28-Oct-13,30-Oct-13,3-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-000757,N,20,,,,31-Oct-13,31-Oct-13,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-000772,N,30,,,,31-Oct-13,1-Nov-13,23-Nov-16,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-000994,N,20,,,,12-Nov-13,14-Nov-13,18-May-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2014-001184,N,20,,,,18-Nov-13,18-Nov-13,8-Dec-16,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,18-Nov-13,27-Nov-13,9,Not Billable,
Office of Pesticide Programs,EPA-HQ-2014-001185,N,20,,,,18-Nov-13,18-Nov-13,,,Complex,,,,,,,,,,18-Nov-13,19-Nov-13,1,Deny,18-Nov-13,19-Nov-13,0,Deny,
Office of Transportation and Air Quality,EPA-HQ-2014-001206,N,20,,,,18-Nov-13,19-Nov-13,20-Jul-17,,Complex,Partial grant/partial denial, ,Ex. 4,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-001295,N,,,,,,,,,Simple,,,,21-Nov-13,,,,,,,,, ,,,, ,
Office of Air and Radiation,EPA-HQ-2014-001497,N,20,,,,27-Nov-13,3-Dec-13,3-Feb-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,27-Nov-13,18-Dec-13,20,Full Grant,
Office of Atmospheric Programs,EPA-HQ-2014-001513,N,30,,,,28-Nov-13,2-Dec-13,,,Complex,,,,,,,,,,,,, ,2-Dec-13,16-Dec-13,14,Deny,
Office of Pesticide Programs,EPA-HQ-2014-001596,N,20,,,,26-Nov-13,4-Dec-13,,,Complex,,,,,,,,,,,,, ,26-Nov-13,6-Dec-13,10,Full Grant,
Office of Pesticide Programs,EPA-HQ-2014-001719,N,20,,,,9-Dec-13,13-Dec-13,17-Jan-17,,Complex,Request withdrawn, ,,,,,,,,13-Dec-13,24-Dec-13,11,Deny,9-Dec-13,23-Dec-13,14,Full Grant,
OGC Law Groups-Ethics Office,EPA-HQ-2014-001784,N,20,,,,11-Dec-13,19-Dec-13,27-Oct-16,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,19-Dec-13,24-Dec-13,5,Deny,11-Dec-13,23-Dec-13,11,Full Grant,
Office of International and Tribal Affairs,EPA-HQ-2014-002340,N,20,,,,7-Jan-14,7-Jan-14,3-Aug-17,,Complex,Other,Litigation,,,,,,,,,,, ,7-Jan-14,16-Jan-14,8,Deny,
Office of the Administrator,EPA-HQ-2014-002346,N,20,,,,7-Jan-14,7-Jan-14,14-Dec-16,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,7-Jan-14,14-Jan-14,7,Full Grant,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-002435,N,20,,,,9-Jan-14,,15-Nov-16,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of the Administrator,EPA-HQ-2014-002838,N,20,,,,22-Jan-14,,9-May-17,,Complex,Improper FOIA request for other reason, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-003225,N,20,,,,31-Jan-14,3-Feb-14,20-Mar-17,,Complex,Full grant, ,,,,,,,,,,, ,31-Jan-14,27-Feb-14,26,Deny,
Office of Transportation and Air Quality,EPA-HQ-2014-003394,N,30,,,,6-Feb-14,7-Feb-14,12-Apr-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-003556,N,20,,,,11-Feb-14,11-Feb-14,17-Aug-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6, Ex. 7(C), Ex. 7(E)",,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-003559,N,20,,,,11-Feb-14,14-Feb-14,17-Aug-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6, Ex. 7(C), Ex. 7(E)",,,,,,,,,, ,11-Feb-14,28-Feb-14,16,Full Grant,
Office of Pesticide Programs,EPA-HQ-2014-003603,N,30,,,,12-Feb-14,12-Feb-14,7-Jun-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Office of Transportation and Air Quality,EPA-HQ-2014-003699,N,20,,,,18-Feb-14,20-Feb-14,26-Jan-17,,Complex,No records, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-003720,N,20,,,,18-Feb-14,18-Feb-14,25-Aug-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6, Ex. 7(C), Ex. 7(E)",,,,,,,,,, ,18-Feb-14,19-Feb-14,1,Full Grant,
Climate Change Division,EPA-HQ-2014-003726,N,20,,,,18-Feb-14,20-Feb-14,21-Apr-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,18-Feb-14,28-Feb-14,9,Full Grant,
OGC,EPA-HQ-2014-003730,N,30,,,,17-Feb-14,15-Apr-14,1-Jun-17,,Complex,Partial grant/partial denial, ,,,,,,,,,,, ,17-Feb-14,26-Feb-14,9,Deny,
Office of Pesticide Programs,EPA-HQ-2014-003753,N,20,,,,19-Feb-14,20-Feb-14,,,Complex,,,,,,,,,,,,, ,19-Feb-14,28-Feb-14,8,Full Grant,
Office of Pesticide Programs,EPA-HQ-2014-003754,N,20,,,,19-Feb-14,19-Feb-14,,,Complex,,,,,,,,,,,,, ,19-Feb-14,21-Feb-14,1,Deny,
Employment Complaints Resolution (Title VII Staff),EPA-HQ-2014-003777,N,30,,,,20-Feb-14,20-Feb-14,25-Jul-17,,Complex,Request withdrawn, ,,,,,,,,,,, ,,,, ,
Staff Attorneys,EPA-HQ-2014-003860,N,,,,,,,,,Simple,,,,24-Feb-14,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-003989,N,20,,,,26-Feb-14,27-Feb-14,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Congressional and Intergovernmental Relations,EPA-HQ-2014-004051,N,20,,,,27-Feb-14,28-Feb-14,6-Dec-16,,Complex,Partial grant/partial denial, ,Ex. 6,,,,,,,,,, ,,,, ,
Information Management Division,EPA-HQ-2014-004198,N,20,,,,4-Mar-14,5-Mar-14,13-Jun-17,,Complex,Full grant, ,,,,,,,,,,, ,,,, ,
Office of Pesticide Programs,EPA-HQ-2014-004306,N,20,,,,7-Mar-14,10-Mar-14,,,Complex,,,,,,,,,,,,, ,7-Mar-14,26-Mar-14,19,Deny,
Water Permits Division,EPA-HQ-2014-004668,N,20,,,,17-Mar-14,18-Mar-14,27-Sep-17,,Complex,Duplicate request, ,,,,,,,,,,, ,,,, ,
Office of the Inspector General,EPA-HQ-2014-004679,N,20,,,,17-Mar-14,21-Mar-14,,,Complex,,,,,,,,,,,,, ,,,, ,
Office of Air and Radiation,EPA-HQ-2014-004854,N,20,,,,21-Mar-14,21-Mar-14,18-Jan-17,,Complex,Partial grant/partial denial, ,"Ex. 5, Ex. 6",,,,,,,,,, ,,,, ,
