,City,Country,Distance,Fax,FridayHours,Latitude,Longitude,MondayHours,Name,Phone,SaturdayHours,Services,State,Street,SundayHours,ThursdayHours,TuesdayHours,Website,WednesdayHours,ZipCode
10,Brewton,United States,0,,Closed,31.126759,-87.074285,Closed,Women's Resource Center of Escambia - Brewton Office,(251) 867-4947,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",AL,1311 McMillan Ave.,Closed,Closed,Closed,http://www.wrcescambia.com/,9am-5pm,36426
11,Clanton,United States,0,,Closed,32.854735,-86.637566,Closed,"Care Net Pregnancy Resource Center of Chilton Co, Inc.",(205) 755-6767,Closed,"Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,"1622 7th St. N, Ste 132",Closed,9am-5pm,9am-5pm,http://chiltonwomenscenter.com/,9am-1pm,35045
12,Cropwell,United States,0,,,33.538903,-86.284294,,"Ann's New Life Center for Women, Inc. (HB)",205-338-4580,,"Pregnancy Tests, Ultrasound (Onsite)",AL,"3440 Martin Street South, Suite 1",,,,,,35054
13,Dothan,United States,0,(334) 699-3652,Closed,31.230548,-85.434942,9am-8pm,Wiregrass Hope Group,(334) 793-0002,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Parenting Education, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",AL,171 Westgate Parkway,Closed,9am-5pm,9am-5pm,http://wiregrasshopepregnancycenter.com,9am-5pm,36303
14,Enterprise,United States,0,,,31.321007,-85.841291,,Wiregrass Emergency Pregnancy Service (HB),334-417-0270,,Pregnancy Tests,AL,"557 Glover Ave., Suite 6",,,,,,36330
15,Eufaula,United States,0,,Closed,31.885899,-85.145545,1pm-5pm,Pregnancy Resource Center,(334) 687-0715,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound Referrals",AL,604 S Eufaula Ave,Closed,closed,9am-4pm,,9am-5pm,36027
16,Fayette,United States,0,,Closed,33.687754,-87.829551,Closed,Hope's Choice of Alabama,(205) 932-5380,Closed,,AL,314 1st St NE,Closed,Closed,Closed,http://hopeschoiceofalabama.com,Closed,35555
17,Florence,United States,0,,9am-5pm,34.836345,-87.646289,9am-5pm,"Shoals Sav-A-Life, Inc.",(256) 740-0640,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite), Ultrasound Referrals",AL,2201 Cloyd Blvd,Closed,9am-5pm,9am-5pm,http://www.shoalssavalife.com,9am-5pm,35630
18,Fort Payne,United States,0,,Closed,34.439129,-85.725337,9am-4pm,Women's Care Center,(256) 845-0838,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound Referrals",AL,107 4th St SW,Closed,10am-2pm,10am-2pm,http://www.womenscarecenterdekalb.com,10am-2pm,35967
19,Fultondale,United States,0,,Closed,33.605232,-86.797151,10am-4:30pm,North Jefferson Women's Center,(205) 808-9001,Closed,"24-Hour Helpline, Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",AL,1209 Decatur Highway,Closed,10am-4:30pm,10am-4:30pm,http://www.njwomenscenter.org/,10am-4:30pm,35068
20,Gulf Shores,United States,0,,,30.299273,-87.683769,,Women's Care Medical Center (HB),(251) 256-0889,,"Pregnancy Tests, STD/STI Tests, Ultrasound (Onsite)",AL,3757 Gulf Shores Pkwy.,,,,,,36542
21,Guntersville,United States,0,,Closed,34.338983,-86.313969,3pm-6pm,Real Life Crisis Pregnancy Test Center,(256) 931-2000,9am-12pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,1939 Patterson St. Suite 101,Closed,3pm-6pm,Closed,http://reallifecpc.org,Closed,35976
22,Hanceville,United States,0,,,34.059792,-86.767046,,First Source for Women (HB),256-352-5683,,"Pregnancy Tests, Ultrasound (Onsite)",AL,203 Commercial St NE,,,,,,35077
23,Hueytown,United States,0,,Closed,33.422911,-86.985149,9am-4pm,"Sav-A-Life Bessemer, Inc.",(205) 565-4554,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AL,2719 19th St N.,Closed,9am-4pm,9am-6pm,http://www.prchueytown.com,9am-4pm,35023
24,Huntsville,United States,0,,9am-12:30pm,34.722833,-86.577685,9am-4pm,Huntsville Pregnancy Resource Center,(256) 534-1996,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AL,220 Rands Ave.,Closed,9am-6:30pm,9am-4pm,http://www.huntsvilleprc.org/,9am-4pm,35801
25,Jackson,United States,0,(251) 246-7785,Closed,31.582508,-87.878337,Closed,Alpha Women's Resource Center,(251) 246-7750,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Mobile), Ultrasound (Onsite)",AL,6479 Hwy 43 N,Closed,9am-5pm,9am-5pm,http://www.pregnancytesthelp.com,9am-5pm,36545
26,Jacksonville,United States,0,,,33.786542,-85.767132,,HOPE Women's Services (HB),256-237-9999,,"Pregnancy Tests, Ultrasound (Onsite)",AL,301 Henry Rd SW,,,,,,36265
27,Jasper,United States,0,(205) 221-5860,Closed,33.833982,-87.276638,9am-4pm,Pregnancy Test and Resource Center,(205) 221-5860,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AL,1707 2nd Ave,Closed,9am-5pm,9am-4pm,http://www.ptrcjasper.org,8am-2pm,35501
28,Lanett,United States,0,(334) 642-8833,Closed,32.873725,-85.188638,"9am-12pm, 1pm-5pm","Sav-A-Life of Lanett Valley, Inc.",(334) 642-8832,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,711 North 4th Ave,Closed,"9am-12pm, 1pm-5pm","9am-12pm, 1pm-5pm",http://lanettpregnancy.org,"9am-12pm, 1pm-5pm",36863
29,Mobile,United States,0,,8am-4pm,30.674394,-88.144951,8am-4pm,Women's Resource Center,(251) 344-4357,8am-12pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Mobile), Ultrasound (Onsite)",AL,718 Downtowner Loop West,Closed,8am-4pm,8am-4pm,http://www.wrcmobile.org,8am-4pm,36609
30,Montgomery,United States,0,,,32.380212,-86.276284,,COPE Pregnancy Center (HB),334-834-2673,,Pregnancy Tests,AL,2158 Madison Ave,,,,,,36107
31,Montgomery,United States,0,(334) 244-4475,8:30am-Noon,32.378335,-86.201958,8:30am-5pm,First Choice Women's Medical Center,(334) 260-8010,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",AL,380 Mendel Pkwy E,Closed,9am-5pm,8:30am-5pm,http://firstchoicewmc.com,8:30am-5pm,36117
32,Oneonta,United States,0,,Closed,33.945864,-86.474525,9am-4pm,Blount County Sav-A-Life,(205) 625-5416,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound Referrals",AL,311 1st Ave East,Closed,9am-6pm,9am-2pm,http://www.bcsavalife.com,Closed,35121
33,Ozark,United States,0,,9am-12pm,31.442758,-85.663497,Closed,"Sav-A-Life of Dale County, Inc.",(334) 774-4419,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men",AL,1889 Andrews Ave,Closed,9am-4pm,9am-4pm,http://savalifeozark.org,9am-4pm,36360
34,Pelham,United States,0,(205) 664-1016,9am-12:30pm,33.288160,-86.811280,9am-4pm,Sav-A-Life Shelby Pregnancy Resource Center,(205) 664-1667,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite), Ultrasound Referrals",AL,"3156 Pelham Pkwy, Suite 1",Closed,9am-4pm,9am-4pm,http://pregnancycenterpelham.org/,9am-4pm,35124
35,Prattville,United States,0,334-365-5761,10am-1pm September thru May,32.463065,-86.472207,10am-8pm,River Region Pregnancy Center,(334) 365-8266,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AL,101 East 4th St,Closed,10am-4pm,10am-8pm,http://amIpregnantrrpc.com,10am-1pm,36067
36,Rainbow City,United States,0,(256) 442-6104,"9:30am-12pm, 1pm-4pm",33.954496,-86.039436,"9:30am-12pm, 1pm-4pm",Etowah Pregnancy Testing Center,(256) 442-6101,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Ultrasound Referrals",AL,119 Church St,Closed,"9:30am-12pm, 1pm-4pm","9:30am-12pm, 1pm-4pm",http://www.lovethemboth.org,"9:30am-12pm, 1pm-4pm",35906
37,Robertsdale,United States,0,,Closed,30.549534,-87.707467,9am-5pm,Women's Care Medical Center,(251) 947-2111,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite)",AL,18555 Carolina St,Closed,9am-5pm,9am-5pm,http://www.womenscaremedicalcenter.org,9am-4pm,36567
38,Saraland,United States,0,,8am-4pm,30.802641,-88.097582,8am-4pm,Women's Resource Center - Saraland,(251) 675-0911,By Appointment,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,1088 Industrial Pkwy Ste 3,Closed,8am-4pm,8am-4pm,http://www.wrcmobile.org,8am-4pm,36571
39,Scottsboro,United States,0,,Closed,34.663296,-86.045802,10am-2pm,Turning Point Pregnancy Center,(256) 259-8772,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AL,510 Harley St,Closed,10am-2pm,10am-6pm,http://www.turningpointscottsboro.com,Closed,35768
40,Selma,United States,0,,Closed,32.406900,-87.028300,9am-1pm,Safe Harbor Women's Medical Clinic,(334) 875-8900,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,408 Dallas Ave.,Closed,9 am-1pm,9 am-1pm,http://safeharborwmc.org/,9 am-1pm,36701
41,Spanish Fort,United States,0,,,30.669689,-87.891677,,Women's Health Center (HB),251-929-9640,,"Pregnancy Tests, Ultrasound (Onsite)",AL,30505 Spanish Lane,,,,,,36527
42,Springville,United States,0,,Closed,33.775166,-86.471672,10am-4pm,St. Clair Co. Savalife,(205) 467-7322,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound Referrals",AL,6426 US Highway 11,Closed,10am-8pm,10am-4pm,http://www.stclairsavalife.com/,10am-4pm,35146
43,Sylacauga,United States,0,,Closed,33.181459,-86.250161,Closed,Coosa Valley Resources for Women,(256) 208-8888,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite)",AL,1259 AL Hwy 21,Closed,10am-4pm,10am-4pm,http://www.resourcesforwomen.net,10am-4pm,35150
44,Tallassee,United States,0,,Closed,32.535263,-85.895408,1pm-5pm,"Tallassee Life Choice PC, Inc.",(334) 252-0894,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men",AL,403 James St. P.O.Box 780632,Closed,Closed,1pm-5pm,http://www.lifechoicepregnancy.com/,Closed,36078
45,Trinity,United States,0,,10am-4pm,34.570912,-86.997882,10am-4pm,Sav-a-Life Pregnancy Center,(256) 355-3828,Closed,"Abortion Information, Adoption Agency, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Maternity Home, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",AL,"801 Bradley St, SW",Closed,10am-4pm,10am-4pm,http://www.decaturpregnancy.com,10am-4pm,35673
46,Troy,United States,0,,10:00am-2:00pm,31.799805,-85.974573,10:00am-4:00pm,Sav-A-Life Troy Inc. Women's Life Center,(334) 566-2880,,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Tests",AL,523 S. Three Notch St,,10:00am-4:00pm,10:00am-4:00pm & 5:30pm-7:00pm,http://savalifetroy.org,10:00am-4:00pm,36081
47,Tuscaloosa,United States,0,,,33.171510,-87.485371,,Lifeline Children's Services (HB),1-800-875-5595,,Pregnancy Tests,AL,31 El Dorado East,,,,,,35405
48,Tuscaloosa,United States,0,,9am-12pm,33.219098,-87.530214,"9am-12pm, 1pm-4pm",Choices Pregnancy Clinic,(205) 759-5433,Closed,"24-Hour Helpline, Abortion Information, Adoption Agency, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite)",AL,535 Jack Warner Pkwy. NE Suite G1,Closed,"9am-12pm, 5pm-7pm","9am-12pm, 1pm-4pm",http://www.choicespregnancyclinic.org,Closed,35404
49,Wetumpka,United States,0,,Closed,32.537830,-86.204113,9am-1pm,Elmore County Pregnancy Center,(334) 567-1955,Closed,"Abortion Information, Adoption Agency, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Mobile)",AL,104 Company St.,Closed,9am-1pm,9am-1pm,,9am-4pm,36092
50,Anchorage,United States,0,(907) 337-9262,10am-2pm,61.182057,-149.837617,9am-4pm,Community Pregnancy Center of Anchorage,(907) 337-9292,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, Support for Men, Ultrasound (Onsite)",AK,4231 Lake Otis,Closed,9am-4pm,9am-4pm,http://www.cpcanchorage.com,9am-4pm,99508
51,Eagle River,United States,0,,12pm-4pm,61.330285,-149.569851,Closed,Heart to Heart Pregnancy Resource Center,(907) 694-1747,2nd and 3rd 12pm-4pm,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information",AK,"12110 Business Blvd, Suite 32",Closed,12pm-4pm,12pm-4pm,http://www.h2hprc.org/,12pm-4pm,99577
52,Fairbanks,United States,0,(907) 455-8251,10am-3pm,64.835544,-147.762249,Closed,Care Net Pregnancy Center of the Tanana Valley,(907) 455-8255,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AK,1402 Wilbur St,Closed,10am-3pm,10am-3pm,http://carenetfairbanks.com,10am-3pm,99701
53,Glennallen,United States,0,,,62.110872,-145.529656,,Copper Basin Pregnancy Center (HB),907-822-4444,,Pregnancy Tests,AK,#3 Aurora Drive,,,,,,99588
54,Homer,United States,0,,Closed,59.647314,-151.545986,12pm-4pm,Water's Edge,(907) 235-7899,Closed,"Abortion Information, Adoption Information, Maternity & Infant Supplies, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men",AK,3896 Bartlett St,Closed,12pm-4pm,12pm-4pm,http://pccofhomer.com,12pm-4pm,99603
55,Kenai,United States,0,(907) 283-9064,Closed,60.554780,-151.247085,12pm-4pm,ABC Life Choices,(907) 283-9062,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, Support for Men, Ultrasound (Onsite)",AK,501 Frontage Road,Closed,12pm-4pm,12pm-4pm,http://www.abcwecare.org,12pm-4pm,99611
56,Sitka,United States,0,,,57.049776,-135.304077,,Sitka Pregnancy Center (HB),907-623-0965,,Pregnancy Tests,AK,180 Price St  #25,,,,,,99835
57,Wasilla,United States,0,(907) 376-4352,Closed,61.573961,-149.357987,10am-4pm,HeartReach Center,(907) 373-3456,Closed,"24-Hour Helpline, Abortion Information, Adoption Agency, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",AK,865 S Seward Meridian Parkway,Closed,1pm-7pm,10am-4pm,http://www.matsupregnancy.com,10am-4pm,99654
58,Wrangell,United States,0,,,56.472227,-132.382699,,"Hannah's Place, Inc. (HB)",907-660-7084,,Pregnancy Tests,AK,220 Church St,,,,,,99929
59,Avondale,United States,0,,,33.445932,-112.348609,,New Life Pregnancy Center - Avondale (HB),623-444-2528,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,1001 N Central Ave,,,,,,85323
60,Casa Grande,United States,0,,,32.883752,-111.739644,,New Life Pregnancy Center - Casa Grande (HB),520-836-6614,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,1101 E Trinity Place,,,,,,85122
61,Chandler,United States,0,,Closed,33.312743,-111.859589,9am-4pm,Pregnancy Care Center of Chandler,(480) 374-2994,Closed,"Abortion Information, Adoption Agency, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, Ultrasound (Onsite), Ultrasound Referrals",AZ,590 N Alma School Rd Ste 20,Closed,1pm-8pm,9am-4pm,http://pccchandler.com,9am-4pm,85224
62,Cottonwood,United States,0,,,34.739772,-112.014371,,House of Ruth Pregnancy Care Center Inc (HB),928-634-0212,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,1198 E Mingus Avenue,,,,,,86326
63,Flagstaff,United States,0,,,35.195599,-111.653380,,Hope Pregnancy Resource Center (HB),928-774-8302,,"Pregnancy Tests, STD/STI Tests, Ultrasound (Onsite)",AZ,224 S. Kendrick,,,,,,86001
64,Glendale,United States,0,,9am-5pm,33.581631,-112.183731,9am-5pm,Choices Pregnancy Center - Glendale,(623) 486-5232,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",AZ,10555 N 58th Drive,Closed,9am-7pm,9am-7pm,http://choicesaz.com/,9am-5pm,85302
65,Kingman,United States,0,,,35.254217,-114.012121,,Advice & Aid Pregnancy Ctr (HB),928-692-1301,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,2975 E Northern Ave Ste 159,,,,,,86409
66,Mesa,United States,0,,9am-5pm,33.394101,-111.791942,9am-5pm,Choices Pregnancy Center - Mesa,(480) 733-2740,Closed,"Abortion Information, Adoption Information, Housing Referrals, Maternity & Infant Supplies, Medical Referrals, Parenting Education, Post-Abortion Support, Pregnancy Options Information, Pregnancy Tests, STD/STI Information, STD/STI Tests, STD/STI Treatment, Support for Men, Ultrasound (Onsite), Ultrasound Referrals",AZ,1818 E Southern Ave #13-A,Closed,9am-7pm,9am-7pm,http://choicesaz.com/,9am-5pm,85204
67,Mesa,United States,0,,,33.400106,-111.833802,,New Life Pregnancy Center - Mesa (HB),602-726-2307,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,819 S MacDonald,,,,,,85210
68,Oracle,United States,0,,,32.618086,-110.790589,,Family First (HB),520-896-9545,,Pregnancy Tests,AZ,1575 W American Ave,,,,,,85623
69,Phoenix,United States,0,,,33.391733,-112.050240,,New Life Pregnancy Center - Phoenix South (HB),602-243-1614,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,1431 E Southern Ave,,,,,,85040
70,Phoenix,United States,0,,,33.570899,-112.064707,,Life Choices Women's Clinic (HB),602-305-5100,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",AZ,"9303 N. 7th Street, Suite #4",,,,,,85020
71,Phoenix,United States,0,,,33.510147,-112.126462,,New Life Pregnancy Center - Phoenix Central (HB),602-515-3526,,"Pregnancy Tests, Ultrasound (Onsite)",AZ,3100 W Camelback Rd,,,,,,85017
72,Phoenix,United States,0,,,33.677714,-111.978353,,Pregnancy Resource Clinic of Arizona (HB),480-694-5746,,"Pregnancy Tests, STD/STI Tests, Ultrasound (Onsite)",AZ,21050 N Tatum Blvd Suite 200,,,,,,85050
73,Phoenix,United States,0,,,33.466178,-112.135314,,Life Choices Women's Clinic (HB),623-500-6200,,"Pregnancy Tests, STD/STI Tests, STD/STI Treatment, Ultrasound (Onsite)",AZ,3516 W McDowell Rd,,,,,,85009
